"order_id","tracking","buyer_country","amazon_ship_option","amazon_carrier_name","bl_package","bl_tracking_status_date","dhl_file_delivery_date","dhl_last_event","dhl_source_file","bl_delivery_package_module","bl_delivery_package_nr","bl_package_tracking","bl_courier_code","bl_courier_other_name","notes"
"028-2086435-7841925","JJD000030206530000003154063","AT","Std DE Intl_1","DHL","Yes","","2026-02-05 08:51:00","DRPDOR","EX_DHL_2446860_NET FOX_JJD_08.02.2026 17.02.xlsx","blconnectpackages","JJD000030206530000003154063","JJD000030206530000003154063","blconnectpackages","dhl",""
"304-1024392-0637125","JJD000030206530000003157960","AT","Pri Intl","DHL","Yes","","2026-02-05 12:23:00","DRPDOR","EX_DHL_2446860_NET FOX_JJD_08.02.2026 17.02.xlsx","blconnectpackages","JJD000030206530000003157960","JJD000030206530000003157960","blconnectpackages","dhl",""
"302-1965711-3915549","JJD000030206530000003152601","AT","Std DE Intl_1","DHL","Yes","","2026-02-05 09:57:00","DRPDOR","EX_DHL_2446860_NET FOX_JJD_08.02.2026 17.02.xlsx","blconnectpackages","JJD000030206530000003152601","JJD000030206530000003152601","blconnectpackages","dhl",""
"302-8427977-1369141","JJD000030206530000003163686","AT","Pri Intl","DHL","Yes","","2026-02-06 08:24:00","DRPDOR","EX_DHL_2446860_NET FOX_JJD_08.02.2026 17.02.xlsx","blconnectpackages","JJD000030206530000003163686","JJD000030206530000003163686","blconnectpackages","dhl",""
"305-9842842-2767542","JJD000030206530000003158523","AT","Pri Intl","DHL","Yes","","2026-02-05 08:40:00","DRPDOR","EX_DHL_2446860_NET FOX_JJD_08.02.2026 17.02.xlsx","blconnectpackages","JJD000030206530000003158523","JJD000030206530000003158523","blconnectpackages","dhl",""
"304-7171132-2893162","JJD000030206530000003164058","AT","Pri Intl","DHL","Yes","","2026-02-06 08:50:00","DRPDOR","EX_DHL_2446860_NET FOX_JJD_08.02.2026 17.02.xlsx","blconnectpackages","JJD000030206530000003164058","JJD000030206530000003164058","blconnectpackages","dhl",""
"303-5082779-3422715","JJD000030206530000003163995","AT","Pri Intl","DHL","Yes","","2026-02-06 14:03:00","DRPDOR","EX_DHL_2446860_NET FOX_JJD_08.02.2026 17.02.xlsx","blconnectpackages","JJD000030206530000003163995","JJD000030206530000003163995","blconnectpackages","dhl",""
"302-7590973-1835560","JJD000030206530000003090764","AT","Std DE Intl_1","DHL","Yes","","2026-01-20 07:51:00","DRPDOR","EX_DHL_2446860_NET FOX_JJD_18.01.2026 31.01.xlsx","blconnectpackages","JJD000030206530000003090764","JJD000030206530000003090764","blconnectpackages","dhl",""
"305-4803357-2910760","JJD000030206530000003148594","AT","Pri Intl","DHL","Yes","","2026-02-04 09:16:00","DRPDOR","EX_DHL_2446860_NET FOX_JJD_08.02.2026 17.02.xlsx","blconnectpackages","JJD000030206530000003148594","JJD000030206530000003148594","blconnectpackages","dhl",""
"305-1269852-3082726","JJD000030206530000003155126","AT","Std DE Intl_1","DHL","Yes","","2026-02-05 09:11:00","DRPDOR","EX_DHL_2446860_NET FOX_JJD_08.02.2026 17.02.xlsx","blconnectpackages","JJD000030206530000003155126","JJD000030206530000003155126","blconnectpackages","dhl",""
"303-1795910-2046751","JJD000030206530000003090242","AT","Std DE Intl_1","DHL","Yes","","2026-01-20 10:39:00","DRPDOR","EX_DHL_2446860_NET FOX_JJD_18.01.2026 31.01.xlsx","blconnectpackages","JJD000030206530000003090242","JJD000030206530000003090242","blconnectpackages","dhl",""
"028-5458883-3696315","JJD000030206530000003143904","AT","Pri Intl","DHL","Yes","","2026-02-03 11:32:00","DRPDOR","EX_DHL_2446860_NET FOX_JJD_01.02.2026 14.02.xlsx","blconnectpackages","JJD000030206530000003143904","JJD000030206530000003143904","blconnectpackages","dhl",""
"306-6604409-4485133","JJD000030206530000003146794","AT","Pri Intl","DHL","Yes","","2026-02-03 08:35:00","DRPDOR","EX_DHL_2446860_NET FOX_JJD_01.02.2026 14.02.xlsx","blconnectpackages","JJD000030206530000003146794","JJD000030206530000003146794","blconnectpackages","dhl",""
"304-1496172-6333162","JJD000030206530000003138470","AT","Pri Intl","DHL","Yes","","2026-02-02 09:27:00","DRPDOR","EX_DHL_2446860_NET FOX_JJD_01.02.2026 14.02.xlsx","blconnectpackages","JJD000030206530000003138470","JJD000030206530000003138470","blconnectpackages","dhl",""
"304-6114751-8544302","JJD000030206530000003148690","AT","Pri Intl","DHL eCommerce","Yes","","2026-02-04 10:01:00","DRPDOR","EX_DHL_2446860_NET FOX_JJD_08.02.2026 17.02.xlsx","blconnectpackages","JJD000030206530000003148690","JJD000030206530000003148690","blconnectpackages","dhl",""
"302-6774748-9994731","JJD000030206530000003154074","AT","Std DE Intl_1","DHL","Yes","","2026-02-04 13:15:00","DRPDOR","EX_DHL_2446860_NET FOX_JJD_08.02.2026 17.02.xlsx","blconnectpackages","JJD000030206530000003154074","JJD000030206530000003154074","blconnectpackages","dhl",""
"304-6092383-3993946","JJD000030206530000003156065","AT","Std DE Intl_1","DHL","Yes","","2026-02-05 16:01:00","DRPDOR","EX_DHL_2446860_NET FOX_JJD_08.02.2026 17.02.xlsx","blconnectpackages","JJD000030206530000003156065","JJD000030206530000003156065","blconnectpackages","dhl",""
