=== GRUPA 1: Brak internal_sku (mają product_id, brak mapowania do ERP) ===
seller_sku;asin;title;marketplace_id;brand;category;k_number;order_lines;total_revenue;currency;first_order;last_order
6B-UQJ4-DB0F;B008F78QTW;Porta Biancheria Rettangolare Rattan con Coperchio 40L Curver,Crema/Avorio;A1PA6795UKMFR9;;;;3;89.78;EUR;2025-12-30 11:00:49+00:00;2026-01-10 13:41:44+00:00
MAG_5906638328194;B0FD9PSDQ7;KADAX fi43mm Schraubdeckel für Einmachgläser, Twist Off Deckel aus Metall, Ersatzdeckel für Marmeladengläser, Honiggläser & Konservengläser, Schraubverschluss für Gläser | Weiß;A1PA6795UKMFR9;;;;3;16.10;EUR;2025-12-30 18:47:58+00:00;2026-01-03 20:10:08+00:00
MAG_5906638328927;B0FD9RKK9X;KADAX fi82mm Schraubdeckel für Einmachgläser, Twist Off Deckel aus Metall, Ersatzdeckel für Marmeladengläser, Honiggläser & Konservengläser, Schraubverschluss für Gläser | Herz;A1PA6795UKMFR9;;;;3;17.55;EUR;2025-12-27 15:47:54+00:00;2026-01-30 18:09:08+00:00
MAG_5906638375167;B0G52YXM3B;KADAX 10er Set Einmachgläser 300 ml mit Schraubdeckel in Weiß - Luftdichte Vorratsgläser für Suppen, Saucen, Fleischgerichte, Chutneys & mehr;A1PA6795UKMFR9;;;;3;53.85;EUR;2025-12-13 22:28:09+00:00;2026-02-01 16:21:39+00:00
MAG_5906638374498;B0G52RCHHX;KADAX 10er Set Mini Marmeladengläser 40 ml mit Schraubdeckel in Silber - Probiergläser & Vorratsgläser für Honig, Konfitüren, Gewürze, Gastgeschenke & mehr;A1PA6795UKMFR9;;;;3;27.90;EUR;2025-12-09 16:25:42+00:00;2026-02-04 21:27:49+00:00
MAG_5906638375617;B0G57WWNNX;KADAX 24er Set Marmeladengläser 425 ml mit Schraubdeckel in Grün/Gold - Robuste Vorratsgläser & Einmachgläser für Chutneys, Eintöpfe, Soßen & Wurstwaren;A1PA6795UKMFR9;;;;3;74.65;EUR;2025-12-12 13:19:51+00:00;2026-01-23 15:21:28+00:00
MAG_5906638329238;B0FD9SST7K;KADAX fi89mm Schraubdeckel für Einmachgläser, Twist Off Deckel aus Metall, Ersatzdeckel für Marmeladengläser, Honiggläser & Konservengläser, Schraubverschluss für Gläser | Grün;A1PA6795UKMFR9;;;;3;30.53;EUR;2025-12-07 20:38:31+00:00;2025-12-28 16:26:56+00:00
MAG_5906638374443;B0G521JH2T;KADAX 10er Set Marmeladengläser 200 ml mit Schraubdeckel in Blaue Rauten - Dessertgläser & Vorratsgläser für Konfitüren, Chutneys, Pesto, Babybrei & mehr;A1PA6795UKMFR9;;;;3;47.85;EUR;2025-12-14 11:36:48+00:00;2025-12-23 10:44:47+00:00
MAG_5906638329252;B0FD9VRTBX;KADAX fi89mm Schraubdeckel für Einmachgläser, Twist Off Deckel aus Metall, Ersatzdeckel für Marmeladengläser, Honiggläser & Konservengläser, Schraubverschluss für Gläser | Schwarz;A1PA6795UKMFR9;;;;2;7.20;EUR;2026-01-17 11:43:57+00:00;2026-01-19 11:44:15+00:00
MAG_5906638374351;B0G5212NGS;KADAX 10er Set Marmeladengläser 200 ml mit Schraubdeckel in Rosa Gepunktet - Dessertgläser & Vorratsgläser für Konfitüren, Chutneys, Pesto, Babybrei & mehr;A1PA6795UKMFR9;;;;2;31.10;EUR;2025-12-15 12:55:45+00:00;2026-02-05 20:07:53+00:00
MAG_5906638374245;B0G522T84T;KADAX 10er Set Marmeladengläser 200 ml mit Schraubdeckel in Weiß - Dessertgläser & Vorratsgläser für Konfitüren, Chutneys, Pesto, Babybrei & mehr;A1PA6795UKMFR9;;;;2;31.90;EUR;2026-01-14 00:28:14+00:00;2026-01-19 19:35:34+00:00
MAG_5906638374221;B0G523SVBW;KADAX 10er Set Marmeladengläser 200 ml mit Schraubdeckel in Rot Gepunktet - Dessertgläser & Vorratsgläser für Konfitüren, Chutneys, Pesto, Babybrei & mehr;A1PA6795UKMFR9;;;;2;31.90;EUR;2025-12-13 07:44:13+00:00;2026-01-20 05:06:22+00:00
MAG_5906638374412;B0G523ZLGG;KADAX 10er Set Marmeladengläser 200 ml mit Schraubdeckel in Beige - Dessertgläser & Vorratsgläser für Konfitüren, Chutneys, Pesto, Babybrei & mehr;A1PA6795UKMFR9;;;;2;31.90;EUR;2025-12-06 13:39:21+00:00;2025-12-14 10:58:24+00:00
MAG_5906638328156;B0FD9SG1R7;KADAX fi43mm Schraubdeckel für Einmachgläser, Twist Off Deckel aus Metall, Ersatzdeckel für Marmeladengläser, Honiggläser & Konservengläser, Schraubverschluss für Gläser | Gold;A1PA6795UKMFR9;;;;2;4.35;EUR;2025-12-20 13:20:32+00:00;2026-03-01 09:31:50+00:00
MAG_5906638328132;B0FD9SMGX7;KADAX fi33mm Schraubdeckel für Einmachgläser, Twist Off Deckel aus Metall, Ersatzdeckel für Marmeladengläser, Honiggläser & Konservengläser, Schraubverschluss für Gläser | Weiß;A1PA6795UKMFR9;;;;2;2.85;EUR;2025-12-19 11:57:23+00:00;2026-01-03 20:10:08+00:00
MAG_5906638329283;B0FD9SCYRJ;KADAX fi100mm Schraubdeckel für Einmachgläser, Twist Off Deckel aus Metall, Ersatzdeckel für Marmeladengläser, Honiggläser & Konservengläser, Schraubverschluss für Gläser | Schwarz;A1PA6795UKMFR9;;;;2;18.30;EUR;2025-12-28 16:26:56+00:00;2025-12-28 16:26:56+00:00
MAG_5906638328637;B0FD9RJV2Q;KADAX fi63mm Schraubdeckel für Einmachgläser, Twist Off Deckel aus Metall, Ersatzdeckel für Marmeladengläser, Honiggläser & Konservengläser, Schraubverschluss für Gläser | Grün;A1PA6795UKMFR9;;;;2;6.40;EUR;2025-12-22 16:28:17+00:00;2025-12-22 16:28:17+00:00
MAG_5906638328576;B0FD9RXPBK;KADAX fi58mm Schraubdeckel für Einmachgläser, Twist Off Deckel aus Metall, Ersatzdeckel für Marmeladengläser, Honiggläser & Konservengläser, Schraubverschluss für Gläser | Gold;A1PA6795UKMFR9;;;;2;9.86;EUR;2026-01-11 11:15:35+00:00;2026-01-17 11:43:57+00:00
MAG_5906638345139;B0FL7FWRDJ;KADAX Einmachgläser 500ml, Vorratsgläser mit fi82 mm Schraubdeckel, Einkochgläser, Gläser zum Einmachen von Obst, Gemüse, Honig & Konserven, Schraubgläser (Gemüsefeld, 24 Stück);A1PA6795UKMFR9;;;K14048;2;87.10;EUR;2025-12-05 11:08:55+00:00;2026-02-26 09:25:26+00:00
MAG_5906638375419;B0G5865KSV;KADAX 20er Set Marmeladengläser 350 ml mit Schraubdeckel in Gold - Luftdichte Einmachgläser für Marmelade, Pasteten, Suppen, Gemüse & Fleischgerichte;A1PA6795UKMFR9;;;;2;43.90;EUR;2025-12-08 08:00:01+00:00;2025-12-08 09:27:01+00:00
MAG_5906638375457;B0G583FBZP;KADAX 20er Set Marmeladengläser 350 ml mit Schraubdeckel in Rot Kariert - Luftdichte Einmachgläser für Marmelade, Pasteten, Suppen, Gemüse & Fleischgerichte;A1PA6795UKMFR9;;;;2;43.90;EUR;2026-02-06 10:22:16+00:00;2026-02-07 13:33:43+00:00
MAG_5906638375501;B0G583ZFZ8;KADAX 20er Set Marmeladengläser 350 ml mit Schraubdeckel in Obst - Luftdichte Einmachgläser für Marmelade, Pasteten, Suppen, Gemüse & Fleischgerichte;A1PA6795UKMFR9;;;;2;43.90;EUR;2025-12-29 13:20:44+00:00;2025-12-29 13:20:44+00:00
MAG_5906638375198;B0G5357LFW;KADAX 10er Set Einmachgläser 300 ml mit Schraubdeckel in Schwarz Gepunktet - Luftdichte Vorratsgläser für Suppen, Saucen, Fleischgerichte, Chutneys & mehr;A1PA6795UKMFR9;;;;2;35.90;EUR;2025-12-15 14:31:46+00:00;2025-12-20 17:15:42+00:00
MAG_5906638375709;B0G57TX9JD;KADAX 24er Set Marmeladengläser 425 ml mit Schraubdeckel in Schwarz Gepunktet - Robuste Vorratsgläser & Einmachgläser für Chutneys, Eintöpfe, Soßen & Wurstwaren;A1PA6795UKMFR9;;;;2;49.90;EUR;2025-12-25 15:12:40+00:00;2025-12-25 15:12:40+00:00
MAG_5906638374504;B0G52RPJTC;KADAX 10er Set Mini Marmeladengläser 40 ml ohne Deckel - Probiergläser & Vorratsgläser für Honig, Konfitüren, Gewürze, Gastgeschenke & mehr;A1PA6795UKMFR9;;;;2;25.25;EUR;2026-01-31 13:15:51+00:00;2026-03-02 17:44:04+00:00
MAG_5906638375174;B0G532QJMP;KADAX 10er Set Einmachgläser 300 ml mit Schraubdeckel in Schwarz Matt - Luftdichte Vorratsgläser für Suppen, Saucen, Fleischgerichte, Chutneys & mehr;A1PA6795UKMFR9;;;;2;36.05;EUR;2025-12-30 23:46:18+00:00;2025-12-30 23:46:18+00:00
MAG_5906638375211;B0G532Y24J;KADAX 10er Set Einmachgläser 300 ml mit Schraubdeckel in Schwarz/Gold - Luftdichte Vorratsgläser für Suppen, Saucen, Fleischgerichte, Chutneys & mehr;A1PA6795UKMFR9;;;;2;35.90;EUR;2025-12-06 21:41:31+00:00;2025-12-15 12:58:24+00:00
MAG_5906638374528;B0G52V8793;KADAX 10er Set Mini Marmeladengläser 40 ml mit Schraubdeckel in Rot - Probiergläser & Vorratsgläser für Honig, Konfitüren, Gewürze, Gastgeschenke & mehr;A1PA6795UKMFR9;;;;2;27.79;EUR;2025-12-09 00:25:04+00:00;2025-12-09 18:47:34+00:00
MAG_5906638374313;B0G524QQSS;KADAX 10er Set Marmeladengläser 200 ml mit Schraubdeckel in Schwarz Matt - Dessertgläser & Vorratsgläser für Konfitüren, Chutneys, Pesto, Babybrei & mehr;A1PA6795UKMFR9;;;;2;31.90;EUR;2025-12-09 12:01:54+00:00;2025-12-09 16:06:51+00:00
MAG_5906638328385;B0FD9R1C43;KADAX fi66mm Schraubdeckel für Einmachgläser, Twist Off Deckel aus Metall, Ersatzdeckel für Marmeladengläser, Honiggläser & Konservengläser, Schraubverschluss für Gläser | Weiß;A1PA6795UKMFR9;;;;2;19.80;EUR;2025-12-30 18:47:58+00:00;2025-12-30 18:47:58+00:00
MAG_5906638328095;B0FD9QCJCX;KADAX fi33mm Schraubdeckel für Einmachgläser, Twist Off Deckel aus Metall, Ersatzdeckel für Marmeladengläser, Honiggläser & Konservengläser, Schraubverschluss für Gläser | Gold;A1PA6795UKMFR9;;;;2;15.86;EUR;2025-12-09 08:22:53+00:00;2026-01-05 12:31:14+00:00
MAG_5906638328231;B0FD9QQJDL;KADAX fi53mm Schraubdeckel für Einmachgläser, Twist Off Deckel aus Metall, Ersatzdeckel für Marmeladengläser, Honiggläser & Konservengläser, Schraubverschluss für Gläser | Grün;A1PA6795UKMFR9;;;;2;11.60;EUR;2026-01-03 20:10:08+00:00;2026-01-13 18:07:50+00:00
MAG_5902730388463;B086VJSW5P;KADAX Fioriera Rettangolare per Davanzale da Esterno, Vaso da Balcone in Plastica con Sottovaso, Cassetta per Piante da Finestra (80 cm, Grafite);A1PA6795UKMFR9;;;;2;39.90;EUR;2026-02-28 09:53:20+00:00;2026-02-28 09:53:20+00:00
MAG_5906638302231;B0D6YTKJJW;KADAX Klin do rozlupywania drewna ze stali, 16,5 x 3,5 x 4 cm, klin do rozlupywania, ręczny klin do ścinania i rozlupywania drewna, wytrzymaly klin, granat rozlupujący, klin;A1PA6795UKMFR9;;;;2;37.90;EUR;2026-02-13 10:50:51+00:00;2026-02-13 10:50:51+00:00
6B-UQJ4-DB0F;B008F78QTW;Porta Biancheria Rettangolare Rattan con Coperchio 40L Curver,Crema/Avorio;A13V1IB3VIYZZH;;;;2;77.90;EUR;2026-02-05 17:19:45+00:00;2026-02-15 21:08:01+00:00
MAG_5906638329139;B0FD9PT251;KADAX Couvercle à vis fi82mm pour bocaux de conserve, couvercle à visser en métal, couvercle de remplacement pour pots de confiture, pots de miel et bocaux de conserve fruits;A13V1IB3VIYZZH;;;;2;9.00;EUR;2026-03-01 14:52:12+00:00;2026-03-01 14:52:12+00:00
MAG_5906638329221;B0FD9QC4MM;KADAX fi82mm Schraubdeckel für Einmachgläser, Twist Off Deckel aus Metall, Ersatzdeckel für Marmeladengläser, Honiggläser & Konservengläser, Schraubverschluss für Gläser | Schwarz/Gold;A13V1IB3VIYZZH;;;;2;40.50;EUR;2026-01-16 15:06:33+00:00;2026-01-18 19:03:59+00:00
MAG_5906638328590;B0FD9QJV7N;KADAX Couvercle à vis fi58mm pour bocaux de conserve, couvercle à visser en métal, couvercle de remplacement pour pots de confiture, pots de miel et bocaux de conserve Noir;A13V1IB3VIYZZH;;;;2;11.16;EUR;2025-12-31 11:50:09+00:00;2026-01-07 16:01:10+00:00
MAG_5906638329368;B0FD9X3QWJ;KADAX Couvercle à vis fi82 mm pour bocaux de conserve, Couvercle à visser en métal, Couvercle de remplacement pour pots de confiture, pots de miel et bocaux de conserve Robinets;A13V1IB3VIYZZH;;;;2;5.40;EUR;2026-01-02 11:40:12+00:00;2026-01-19 22:45:47+00:00
amzn.gr.MAG_5906638360576-yyzh5T8bMa_-LN;B0FN3Y1NJL;KADAX tomma glasflaskor 250 ml, 12 stycken, snapsflaskor med kork, små flaskor för att fylla likör, vin och snaps, likörflaskor, vinflaskor;A13V1IB3VIYZZH;;;K9348;2;28.06;EUR;2026-01-01 12:35:36+00:00;2026-02-15 10:42:59+00:00
MAG_3253924831640;B00O4BB2CQ;Curver Tier-Futter-Container 20kg, 54L Metallicfarben, schwarz/Silber, 49,3 x 27,8 x 60,5 cm, große luftdichte Aufbewahrung gegen Gerüche für Hundefutter - Behälter mit Rollen;A1805IZSGTT6HS;;;;2;101.98;EUR;2026-01-06 08:36:14+00:00;2026-02-25 20:54:12+00:00
amzn.gr.MAG_5906638360576-yyzh5T8bMa_-LN;B0FN3Y1NJL;KADAX tomma glasflaskor 250 ml, 12 stycken, snapsflaskor med kork, små flaskor för att fylla likör, vin och snaps, likörflaskor, vinflaskor;A2NODRKZP88ZB9;;;K9348;2;537.75;SEK;2026-01-14 20:37:23+00:00;2026-02-09 10:27:50+00:00
MAG_5906638374917;B0G5PQMMDK;KADAX 10er Set Marmeladengläser 250 ml mit Schraubdeckel in Herz - Dickwandige Einmachgläser für Marmelade, Eingemachtes, Aufstriche, Wurst & mehr;A1PA6795UKMFR9;;;;2;34.04;EUR;2025-12-27 12:59:16+00:00;2025-12-27 12:59:16+00:00
MAG_5906638376652;B0G5NFL2JC;KADAX 10er Set Marmeladengläser 330 ml mit Schraubdeckeln in Herz - luftdichte Vorratsgläser für Konfitüren, Desserts, Chutneys & Eingemachtes;A1PA6795UKMFR9;;;;2;33.90;EUR;2025-12-13 12:20:02+00:00;2025-12-13 17:49:02+00:00
MAG_5906638376621;B0G5NM35VG;KADAX 10er Set Marmeladengläser 330 ml mit Schraubdeckeln in Gold - luftdichte Vorratsgläser für Konfitüren, Desserts, Chutneys & Eingemachtes;A1PA6795UKMFR9;;;;2;33.90;EUR;2026-02-17 16:08:00+00:00;2026-02-17 16:08:00+00:00
MAG_5906638376829;B0G5NM8ZW7;KADAX 10er Set Marmeladengläser 330 ml mit Schraubdeckeln in Blau Gepunktet - luftdichte Vorratsgläser für Konfitüren, Desserts, Chutneys & Eingemachtes;A1PA6795UKMFR9;;;;2;33.90;EUR;2025-12-22 17:24:05+00:00;2025-12-22 17:24:05+00:00
MAG_5906638376072;B0G5N2BJ12;KADAX 16er Set Einmachgläser 720 ml mit Schraubdeckel in Schwarz - Großvolumige Vorratsgläser für Gurken, Suppen, Fleischgerichte & Hausgemachte Konserven;A1PA6795UKMFR9;;;;2;45.90;EUR;2025-12-27 04:04:26+00:00;2025-12-27 04:04:26+00:00
MAG_5906638375051;B0G5PP78CN;KADAX 10er Set Marmeladengläser 250 ml mit Schraubdeckel in Grün - Dickwandige Einmachgläser für Marmelade, Eingemachtes, Aufstriche, Wurst & mehr;A1PA6795UKMFR9;;;;2;33.90;EUR;2025-12-26 11:48:24+00:00;2025-12-26 11:48:24+00:00
MAG_5906638374849;B0G5PQ7X6V;KADAX 10er Set Marmeladengläser 250 ml mit Schraubdeckel in Schwarz - Dickwandige Einmachgläser für Marmelade, Eingemachtes, Aufstriche, Wurst & mehr;A1PA6795UKMFR9;;;;2;33.90;EUR;2025-12-13 23:23:06+00:00;2025-12-14 22:17:02+00:00
MAG_764558328039;B00AW8H60C;Curver Style L - storage boxes & baskets (Storage basket, Brown, Rattan, Monotone, Bathroom, Bedroom, Living room);A1RKKUPIHCS9HS;;;;2;56.45;EUR;2026-01-08 10:33:03+00:00;2026-02-17 13:54:01+00:00
MAG_5906638309131;B0DK1C448B;KADAX Râteau en métal, râteau à copeaux longs, large râteau à tête renforcée, râteau de jardin à long manche en bois, outil de jardin robuste, râteau à gazon (32 dents, bleu);A1RKKUPIHCS9HS;;;;2;59.98;EUR;2025-12-26 10:24:15+00:00;2026-02-26 05:25:36+00:00
MAG_5906638375891;B0G5YDV9ZT;KADAX 24er Set Einmachgläser 580 ml mit Schraubdeckel in Blau Kariert - Stabile Gläser für Eingemachtes, Wurst, Fleisch, Saucen & Gemüse;A1PA6795UKMFR9;;;;2;47.90;EUR;2025-12-26 15:01:04+00:00;2025-12-26 15:01:04+00:00
MAG_3253921869004;B06ZZ3TV2C;Keter Connect Cantilever Werkzeugkasten, 56,5x31,7x25,1 Cm, Transparenter Bruchsicherer Deckel, Herausnehmbare Boxen, Stapelbar (Connect System);A28R8C7NBKEWEA;;;;2;119.98;EUR;2026-02-03 17:43:26+00:00;2026-02-26 15:10:52+00:00
MAG_5906638375297;B0G58Z73P3;KADAX 20er Set Einmachgläser 315 ml mit Schraubdeckel in Schwarz - Vielseitige Vorratsgläser & Einmachgläser für Aufstriche, Pesto, Saucen & Eingemachtes;A1PA6795UKMFR9;;;;2;75.80;EUR;2026-01-24 10:25:37+00:00;2026-01-29 11:38:33+00:00
MAG_5906638377024;B0G591YYZV;KADAX Set van 2 voorraadpotten 5 L met schroefdoppen in wit - grote vergingspotten voor zuurkool, kombucha & ingeblikt voedsel;A1PA6795UKMFR9;;;;2;37.90;EUR;2026-01-12 06:26:24+00:00;2026-01-15 19:15:19+00:00
MAG_5906638376935;B0G59CXWL2;KADAX 4er Set Vorratsgläser 2,5 L mit Schraubdeckeln in Weiß - große Gläser für Vorräte, Fermentation & Eingemachtes;A1PA6795UKMFR9;;;;2;47.90;EUR;2026-01-07 20:16:38+00:00;2026-01-24 03:08:11+00:00
MAG_5906638376997;B0G59D6DY3;KADAX Vorratsglas 3 L mit Schraubdeckel in Gold - großes Gärglas für Sauerkraut, Kombucha & Eingemachtes;A1PA6795UKMFR9;;;;2;13.90;EUR;2025-12-29 15:17:04+00:00;2025-12-29 15:17:04+00:00
MAG_5906638376904;B0G5MF3S9T;KADAX 4er Set Vorratsgläser 1,7 L mit Schraubdeckeln in Schwarz - große Einmachgläser zum Lagern, Einlegen & Fermentieren;A1PA6795UKMFR9;;;;2;33.90;EUR;2025-12-29 16:43:24+00:00;2025-12-29 16:43:24+00:00
MAG_5906638376447;B0G5MH2M6K;KADAX 24er Set Einmachgläser 900 ml mit Schraubdeckel in Grün/Gold - Große Vorratsgläser für Suppen, Fleisch, Saucen, Fermentation & mehr;A1PA6795UKMFR9;;;;2;57.90;EUR;2026-01-01 14:00:23+00:00;2026-01-01 14:00:23+00:00
MAG_5906638374696;B0G58K5WGK;KADAX 10er Set Marmeladengläser 235 ml mit Schraubdeckel in Herzen - Luftdichte Einmachgläser für Konfitüren, Eingemachtes, Pasteten, Fleisch & mehr;A1PA6795UKMFR9;;;;2;33.75;EUR;2025-12-10 18:46:41+00:00;2025-12-12 19:16:17+00:00
MAG_5906638374580;B0G58MJZ7C;KADAX 10er Set Marmeladengläser 235 ml mit Schraubdeckel in Folklore - Luftdichte Einmachgläser für Konfitüren, Eingemachtes, Pasteten, Fleisch & mehr;A1PA6795UKMFR9;;;;2;33.90;EUR;2026-03-01 12:33:00+00:00;2026-03-01 12:33:00+00:00
MAG_5906638375600;B0G57VXVZK;KADAX 24er Set Marmeladengläser 425 ml mit Schraubdeckel in Silber - Robuste Vorratsgläser & Einmachgläser für Chutneys, Eintöpfe, Soßen & Wurstwaren;A1PA6795UKMFR9;;;;2;49.90;EUR;2026-01-02 20:31:35+00:00;2026-02-10 17:58:53+00:00
MAG_5906638374603;B0G58K44BD;KADAX 10er Set Marmeladengläser 235 ml mit Schraubdeckel in Silber - Luftdichte Einmachgläser für Konfitüren, Eingemachtes, Pasteten, Fleisch & mehr;A1PA6795UKMFR9;;;;1;16.95;EUR;2025-12-11 20:36:48+00:00;2025-12-11 20:36:48+00:00
MAG_5906638375532;B0G589CYTN;KADAX 20er Set Marmeladengläser 350 ml mit Schraubdeckel in Blau Kariert - Luftdichte Einmachgläser für Marmelade, Pasteten, Suppen, Gemüse & Fleischgerichte;A1PA6795UKMFR9;;;;1;21.95;EUR;2026-02-22 13:52:00+00:00;2026-02-22 13:52:00+00:00
MAG_5906638374719;B0G58MSZ6H;KADAX 10er Set Marmeladengläser 235 ml mit Schraubdeckel in Schwarz Matt - Luftdichte Einmachgläser für Konfitüren, Eingemachtes, Pasteten, Fleisch & mehr;A1PA6795UKMFR9;;;;1;16.95;EUR;2025-12-14 20:33:03+00:00;2025-12-14 20:33:03+00:00
MAG_5906638374658;B0G58KJ2FX;KADAX 10er Set Marmeladengläser 235 ml mit Schraubdeckel in Rot - Luftdichte Einmachgläser für Konfitüren, Eingemachtes, Pasteten, Fleisch & mehr;A1PA6795UKMFR9;;;;1;16.95;EUR;2025-12-11 06:44:55+00:00;2025-12-11 06:44:55+00:00
MAG_5906638374689;B0G58M79WC;KADAX 10er Set Marmeladengläser 235 ml mit Schraubdeckel in Paprika - Luftdichte Einmachgläser für Konfitüren, Eingemachtes, Pasteten, Fleisch & mehr;A1PA6795UKMFR9;;;;1;16.95;EUR;2025-12-07 17:35:35+00:00;2025-12-07 17:35:35+00:00
MAG_5906638376577;B0G5MJNJ48;KADAX 24er Set Einmachgläser 900 ml mit Schraubdeckel in Schwarz Gepunktet - Große Vorratsgläser für Suppen, Fleisch, Saucen, Fermentation & mehr;A1PA6795UKMFR9;;;;1;28.95;EUR;2026-01-11 09:01:24+00:00;2026-01-11 09:01:24+00:00
MAG_5906638376898;B0G5MD1B5V;KADAX 4er Set Vorratsgläser 1,7 L mit Schraubdeckeln in Weiß - große Einmachgläser zum Lagern, Einlegen & Fermentieren;A1PA6795UKMFR9;;;;1;16.95;EUR;2026-02-25 09:19:24+00:00;2026-02-25 09:19:24+00:00
MAG_5906638376980;B0G596SH2M;KADAX Vorratsglas 3 L mit Schraubdeckel in Schwarz - großes Gärglas für Sauerkraut, Kombucha & Eingemachtes;A1PA6795UKMFR9;;;;1;6.95;EUR;2026-01-02 22:49:10+00:00;2026-01-02 22:49:10+00:00
MAG_5906638376942;B0G598NS7W;KADAX 4er Set Vorratsgläser 2,5 L mit Schraubdeckeln in Schwarz - große Gläser für Vorräte, Fermentation & Eingemachtes;A1PA6795UKMFR9;;;;1;23.95;EUR;2026-01-09 20:13:22+00:00;2026-01-09 20:13:22+00:00
MAG_5906638376973;B0G598RQTM;KADAX Vorratsglas 3 L mit Schraubdeckel in Weiß - großes Gärglas für Sauerkraut, Kombucha & Eingemachtes;A1PA6795UKMFR9;;;;1;6.95;EUR;2026-01-04 16:52:30+00:00;2026-01-04 16:52:30+00:00
MAG_5906638375341;B0G58TN3TL;KADAX 20er Set Einmachgläser 315 ml mit Schraubdeckel in Silber - Vielseitige Vorratsgläser & Einmachgläser für Aufstriche, Pesto, Saucen & Eingemachtes;A1PA6795UKMFR9;;;;1;18.95;EUR;2026-01-29 11:38:33+00:00;2026-01-29 11:38:33+00:00
MAG_5906638375273;B0G58V8J51;KADAX 20er Set Einmachgläser 315 ml mit Schraubdeckel in Grün - Vielseitige Vorratsgläser & Einmachgläser für Aufstriche, Pesto, Saucen & Eingemachtes;A1PA6795UKMFR9;;;;1;18.95;EUR;2026-01-29 11:38:33+00:00;2026-01-29 11:38:33+00:00
MAG_5906638375334;B0G58VFVK8;KADAX 20er Set Einmachgläser 315 ml mit Schraubdeckel in Rot - Vielseitige Vorratsgläser & Einmachgläser für Aufstriche, Pesto, Saucen & Eingemachtes;A1PA6795UKMFR9;;;;1;18.95;EUR;2026-01-29 11:38:33+00:00;2026-01-29 11:38:33+00:00
MAG_5906638375365;B0G58WGXKS;KADAX 20er Set Einmachgläser 315 ml mit Schraubdeckel in Gold - Vielseitige Vorratsgläser & Einmachgläser für Aufstriche, Pesto, Saucen & Eingemachtes;A1PA6795UKMFR9;;;;1;18.95;EUR;2026-01-29 11:38:33+00:00;2026-01-29 11:38:33+00:00
MAG_5906638328675;B0FD9RFH5N;KADAX fi66mm Schraubdeckel für Einmachgläser, Twist Off Deckel aus Metall, Ersatzdeckel für Marmeladengläser, Honiggläser & Konservengläser, Schraubverschluss für Gläser | Folklore;A2NODRKZP88ZB9;;;;1;116.70;SEK;2025-12-22 08:28:33+00:00;2025-12-22 08:28:33+00:00
MAG_5906638375860;B0G5YF3HX3;KADAX 24er Set Einmachgläser 580 ml mit Schraubdeckel in Beige/Blau - Stabile Gläser für Eingemachtes, Wurst, Fleisch, Saucen & Gemüse;A1PA6795UKMFR9;;;;1;23.95;EUR;2026-01-16 07:01:28+00:00;2026-01-16 07:01:28+00:00
MAG_5906638375853;B0G5YM26GF;KADAX 24er Set Einmachgläser 580 ml mit Schraubdeckel in Herz - Stabile Gläser für Eingemachtes, Wurst, Fleisch, Saucen & Gemüse;A1PA6795UKMFR9;;;;1;23.95;EUR;2026-03-01 08:49:31+00:00;2026-03-01 08:49:31+00:00
amzn.gr.MAG_5906638360576-yyzh5T8bMa_-LN;B0FN3Y1NJL;KADAX tomma glasflaskor 250 ml, 12 stycken, snapsflaskor med kork, små flaskor för att fylla likör, vin och snaps, likörflaskor, vinflaskor;A1RKKUPIHCS9HS;;;K9348;1;26.58;EUR;2026-02-06 10:36:53+00:00;2026-02-06 10:36:53+00:00
FBA_5906638360569;B0FN431JQT;KADAX tomma glasflaskor 250 ml, 6 stycken, snapsflaskor med kork, små flaskor för att fylla likör, vin och snaps, likörflaskor, vinflaskor;A1RKKUPIHCS9HS;;;K9347;1;12.98;EUR;2026-02-20 19:15:03+00:00;2026-02-20 19:15:03+00:00
MAG_5906638360637;B0FN43NM66;KADAX Leere Glasflaschen 500ml, 8 Stück, Weinflaschen mit Korken, Flaschen zum Befüllen von Likör, Wein, Schnaps, Öl & Essig, Likörflaschen, Schnapsflaschen;A1RKKUPIHCS9HS;;;K9360;1;21.80;EUR;2026-01-20 16:37:44+00:00;2026-01-20 16:37:44+00:00
MAG_764558328039;B00AW8H60C;Curver Style L - storage boxes & baskets (Storage basket, Brown, Rattan, Monotone, Bathroom, Bedroom, Living room);A28R8C7NBKEWEA;;;;1;47.98;EUR;2026-02-25 10:49:41+00:00;2026-02-25 10:49:41+00:00
MAG_3253921869004;B06ZZ3TV2C;Keter Connect Cantilever Werkzeugkasten, 56,5x31,7x25,1 Cm, Transparenter Bruchsicherer Deckel, Herausnehmbare Boxen, Stapelbar (Connect System);A1RKKUPIHCS9HS;;;;1;56.99;EUR;2026-01-17 18:05:54+00:00;2026-01-17 18:05:54+00:00
MAG_3253923068009;B06ZZ4FBRL;Keter Connect Rolling Werkzeugsystem, 3 in 1 Werkzeugtrolley, Rollende Werkstatt, 56,5x37,2x70 cm, stapelbar, inkl. Sortimentskasten;A1RKKUPIHCS9HS;;;;1;131.07;EUR;2026-01-13 18:37:20+00:00;2026-01-13 18:37:20+00:00
