[2026-03-07 18:01:05] ==================================================
[2026-03-07 18:01:05] WATCHDOG STARTED
[2026-03-07 18:01:05]   Check interval: 60s
[2026-03-07 18:01:05]   Min row threshold: 500,000
[2026-03-07 18:01:05] ==================================================
[2026-03-07 19:19:02] Check: rows=245,869  running=True  prev=238,663
[2026-03-07 19:20:03] Check: rows=249,884  running=True  prev=245,869
[2026-03-07 19:21:04] Check: rows=249,884  running=True  prev=249,884
[2026-03-07 19:22:04] Check: rows=255,935  running=True  prev=249,884
[2026-03-07 19:23:05] Check: rows=258,699  running=True  prev=255,935
[2026-03-07 19:24:07] Check: rows=258,699  running=True  prev=258,699
[2026-03-07 19:25:08] Check: rows=258,699  running=True  prev=258,699
[2026-03-07 19:26:09] Check: rows=268,588  running=True  prev=258,699
[2026-03-07 19:27:09] Check: rows=270,109  running=True  prev=268,588
[2026-03-07 19:28:10] Check: rows=270,109  running=True  prev=270,109
[2026-03-07 19:29:11] Check: rows=278,039  running=True  prev=270,109
[2026-03-07 19:30:15] Check: rows=280,340  running=True  prev=278,039
[2026-03-07 19:31:15] Check: rows=283,483  running=True  prev=280,340
[2026-03-07 19:32:16] Check: rows=287,478  running=True  prev=283,483
[2026-03-07 19:33:16] Check: rows=290,418  running=True  prev=287,478
[2026-03-07 19:34:17] Check: rows=293,437  running=True  prev=290,418
[2026-03-07 19:35:17] Check: rows=295,748  running=True  prev=293,437
[2026-03-07 19:36:18] Check: rows=295,748  running=True  prev=295,748
[2026-03-07 19:37:19] Check: rows=295,748  running=True  prev=295,748
[2026-03-07 19:38:20] Check: rows=295,748  running=True  prev=295,748
[2026-03-07 19:39:21] Check: rows=301,124  running=True  prev=295,748
[2026-03-07 19:40:21] Check: rows=302,646  running=True  prev=301,124
[2026-03-07 19:41:22] Check: rows=304,736  running=True  prev=302,646
[2026-03-07 19:42:23] Check: rows=304,736  running=True  prev=304,736
[2026-03-07 19:43:24] Check: rows=309,873  running=True  prev=304,736
[2026-03-07 19:44:24] Check: rows=311,452  running=True  prev=309,873
[2026-03-07 19:45:25] Check: rows=313,258  running=True  prev=311,452
[2026-03-07 19:46:26] Check: rows=313,306  running=True  prev=313,258
[2026-03-07 19:47:26] Check: rows=313,306  running=True  prev=313,306
[2026-03-07 19:48:27] Check: rows=318,359  running=True  prev=313,306
[2026-03-07 19:49:28] Check: rows=322,385  running=True  prev=318,359
[2026-03-07 19:50:29] Check: rows=323,670  running=True  prev=322,385
[2026-03-07 19:51:30] Check: rows=323,670  running=True  prev=323,670
