order_id,tracking,buyer_country,bl_package,bl_tracking_status_date,dhl_file_delivery_date,bl_delivery_package_module,bl_delivery_package_nr,bl_package_tracking,bl_courier_code,bl_courier_other_name,dhl_source_file,dhl_last_event,dhl_last_event_at,amazon_ship_option,amazon_carrier_name,amazon_delivery_scan_attempt,amazon_any_physical_scan,order_status,fulfillment_channel,purchase_date,notes
304-7223975-5990752,JJD000030206530000003127197,AT,Yes,2026-01-25 19:55:59,2026-01-29 13:49:00,blconnectpackages,JJD000030206530000003127197,JJD000030206530000003127197,blconnectpackages,dhl,EX_DHL_2446860_NET FOX_JJD_01.02.2026 14.02.xlsx,DRPDOR,2026-01-29 13:49:00,Pri Intl,DHL,No,Yes,Shipped,MFN,2026-01-25 18:09:32,
302-9028787-8009947,JJD000030206530000003128485,AT,Yes,2026-01-26 07:31:27,2026-01-30 11:02:00,blconnectpackages,JJD000030206530000003128485,JJD000030206530000003128485,blconnectpackages,dhl,EX_DHL_2446860_NET FOX_JJD_01.02.2026 14.02.xlsx,DRPDOR,2026-01-30 11:02:00,Pri Intl,DHL,No,Yes,Shipped,MFN,2026-01-26 05:44:40,
306-3305085-9913151,JJD000030206530000003125291,AT,Yes,2026-01-25 13:46:35,2026-01-29 12:13:00,blconnectpackages,JJD000030206530000003125291,JJD000030206530000003125291,blconnectpackages,dhl,EX_DHL_2446860_NET FOX_JJD_01.02.2026 14.02.xlsx,DRPDOR,2026-01-29 12:13:00,Pri Intl,DHL,No,Yes,Shipped,MFN,2026-01-25 11:52:15,
305-8333814-4306710,JJD000030206530000003114014,AT,Yes,,,blconnectpackages,JJD000030206530000003114014,JJD000030206530000003114014,blconnectpackages,dhl,,,,Std DE Intl_1,DHL,No,Yes,Shipped,MFN,2026-01-22 09:56:56,
305-7116412-5149901,JJD000030206530000003124256,AT,Yes,2026-01-25 09:50:58,2026-01-29 10:13:00,blconnectpackages,JJD000030206530000003124256,JJD000030206530000003124256,blconnectpackages,dhl,EX_DHL_2446860_NET FOX_JJD_01.02.2026 14.02.xlsx,DRPDOR,2026-01-29 10:13:00,Pri Intl,DHL,No,Yes,Shipped,MFN,2026-01-25 08:06:20,
302-9019932-6093930,JJD000030206530000003152689,AT,No,,2026-02-05 15:43:00,,,,,,EX_DHL_2446860_NET FOX_JJD_08.02.2026 17.02.xlsx,DRPDOR,2026-02-05 15:43:00,Std DE Intl_1,DHL,No,Yes,Shipped,MFN,2026-01-31 18:30:22,BL has no package
305-2069121-7973102,JJD000030206530000003154181,AT,No,,2026-02-05 10:57:00,,,,,,EX_DHL_2446860_NET FOX_JJD_08.02.2026 17.02.xlsx,DRPDOR,2026-02-05 10:57:00,Std DE Intl_1,DHL,No,Yes,Shipped,MFN,2026-02-01 09:24:43,BL has no package
302-8750142-2503534,JJD000030206530000003150250,AT,Yes,,,blconnectpackages,JJD000030206530000003150250,JJD000030206530000003150250,blconnectpackages,dhl,EX_DHL_2446860_NET FOX_JJD_08.02.2026 17.02.xlsx,MAGLW,2026-02-04 05:35:29,Pri Intl,DHL,No,No,Shipped,MFN,2026-01-31 11:11:17,
304-8123783-4331526,JJD000030206530000003122647,AT,Yes,2026-01-24 21:06:24,2026-01-29 13:54:00,blconnectpackages,JJD000030206530000003122647,JJD000030206530000003122647,blconnectpackages,dhl,EX_DHL_2446860_NET FOX_JJD_01.02.2026 14.02.xlsx,DRPDOR,2026-01-29 13:54:00,Pri Intl,DHL,No,Yes,Shipped,MFN,2026-01-24 17:37:49,
302-2330032-2226700,JJD000030206530000003166072,AT,Yes,,2026-02-06 13:42:00,blconnectpackages,JJD000030206530000003166072,JJD000030206530000003166072,blconnectpackages,dhl,EX_DHL_2446860_NET FOX_JJD_08.02.2026 17.02.xlsx,DRPDOR,2026-02-06 13:42:00,Pri Intl,DHL,No,Yes,Shipped,MFN,2026-02-03 14:36:12,
302-6732775-5348327,JJD000030206530000003167180,AT,No,,2026-02-09 09:50:00,,,,,,EX_DHL_2446860_NET FOX_JJD_08.02.2026 17.02.xlsx,DRPDOR,2026-02-09 09:50:00,Pri Intl,DHL,No,Yes,Shipped,MFN,2026-02-03 18:26:22,BL has no package
302-9618758-9463508,JJD000030206530000003146963,AT,No,,2026-02-03 18:00:00,,,,,,EX_DHL_2446860_NET FOX_JJD_01.02.2026 14.02.xlsx,DRPDOR,2026-02-03 18:00:00,Pri Intl,DHL,No,Yes,Shipped,MFN,2026-01-30 12:20:30,BL has no package
302-7707046-6557922,JJD000030206530000003102572,AT,No,,,,,,,,,,,Std DE Intl_1,DHL,No,Yes,Shipped,MFN,2026-01-19 05:15:17,BL has no package
303-5538397-5281122,JJD000030206530000003171315,AT,No,,2026-02-07 10:45:00,,,,,,EX_DHL_2446860_NET FOX_JJD_08.02.2026 17.02.xlsx,DRPDOR,2026-02-07 10:45:00,Std DE Intl_1,DHL eCommerce,No,Yes,Shipped,MFN,2026-02-04 17:38:16,BL has no package
306-0081362-5011522,JJD000030206530000003150367,AT,No,,2026-02-04 12:08:00,,,,,,EX_DHL_2446860_NET FOX_JJD_08.02.2026 17.02.xlsx,DRPDOR,2026-02-04 12:08:00,Pri Intl,DHL,No,Yes,Shipped,MFN,2026-01-31 11:28:51,BL has no package
302-7635342-6088331,JJD000030206530000003153668,AT,Yes,,2026-02-04 10:56:00,blconnectpackages,JJD000030206530000003145939,JJD000030206530000003145939,blconnectpackages,dhl,EX_DHL_2446860_NET FOX_JJD_08.02.2026 17.02.xlsx,DRPDOR,2026-02-04 10:56:00,Pri Intl,DHL,No,Yes,Shipped,MFN,2026-01-30 08:34:05,BL tracking differs from Amazon
303-7758489-2107511,JJD000030206530000003144152,AT,No,,2026-02-03 16:08:00,,,,,,EX_DHL_2446860_NET FOX_JJD_01.02.2026 14.02.xlsx,DRPDOR,2026-02-03 16:08:00,Pri Intl,DHL,No,Yes,Shipped,MFN,2026-01-29 15:58:03,BL has no package
304-3620092-4729116,JJD000030206530000003152741,AT,Yes,,2026-02-04 12:35:00,blconnectpackages,JJD000030206530000003152741,JJD000030206530000003152741,blconnectpackages,dhl,EX_DHL_2446860_NET FOX_JJD_08.02.2026 17.02.xlsx,DRPDOR,2026-02-04 12:35:00,Pri Intl,DHL,No,Yes,Shipped,MFN,2026-01-31 18:39:36,
303-2613728-3219553,JJD000030206530000003124065,AT,Yes,2026-01-25 07:40:46,2026-01-29 15:04:00,blconnectpackages,JJD000030206530000003124065,JJD000030206530000003124065,blconnectpackages,dhl,EX_DHL_2446860_NET FOX_JJD_01.02.2026 14.02.xlsx,DRPDOR,2026-01-29 15:04:00,Pri Intl,DHL,No,Yes,Shipped,MFN,2026-01-25 06:00:08,
305-3436364-6235513,JJD000030206530000003154192,AT,No,,2026-02-05 12:16:00,,,,,,EX_DHL_2446860_NET FOX_JJD_08.02.2026 17.02.xlsx,DRPDOR,2026-02-05 12:16:00,Std DE Intl_1,DHL,No,Yes,Shipped,MFN,2026-02-01 09:28:27,BL has no package
